"FID_","Park_Name","Address","Quadrant","Type_Of_Pa","Acres","TurfAcres","Parking_Lo","_of_Prk_Sp","_of_Hand_S","_of_Drkg_F","Restroom","RR_Season","Picnic_Are","Reservable","Picnic_She","Playground","_of_Tennis","_of_Lighte","_of_Basket","_of_Volley","_of_Softba","_of_Ligh_1","_of_Little","_of_Ligh_2","_of_Soccer","Soccer_Fie","Trails","Trail_Surf","Horseshoes","Swimming_P","Pool_Type","Water_Body","Parcourse","Water_Play","X","Y"
,"Anderson ES","1055 Berrum Lane","SW","School",1.180000,0.740000,"No",0.000000,0.000000,0.000000,"No"," ","No","No","No","No",0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,"Youth Practice","No"," ","No","No"," "," ","No","No",-119.809416,39.493855
,"Barbara Bennett Park","400 Island Ave","SW","Neighborhood",2.840000,1.500000,"Yes",39.000000,2.000000,1.000000,"Yes","Yearly","No","No","No","Yes",4.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","No"," ","No","No"," ","river","No","No",-119.818688,39.523275
,"Beck ES","1900 Sharon Dr","SW","School",1.250000,1.250000,"No",0.000000,0.000000,0.000000,"No"," ","No","No","No","No",0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,"Youth Practice","No"," ","No","No"," "," ","No","No",-119.826358,39.505386
,"Canyon Creek Park","1485 Robb Dr","NW","Neighborhood",4.100000,1.490000,"Yes",28.000000,2.000000,1.000000,"Yes","Yearly","Yes","No","Yes","Yes",0.000000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","Yes","Paved","Yes","No"," "," ","Yes","No",-119.882365,39.526169
,"Center Creek Park","1595 Wilbur May Pkwy","SE","Neighborhood",5.640000,3.720000,"Yes",16.000000,2.000000,1.000000,"No"," ","No","No","Yes","Yes",0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","Yes","Paved","No","No"," "," ","No","No",-119.742018,39.429741
,"Comstock Park","1650 Carat Dr","SE","Neighborhood",5.370000,2.890000,"Yes",19.000000,1.000000,1.000000,"Yes","Seasonal","No","No","Yes","Yes",0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000," ","Yes","Paved","No","No"," ","stream","No","No",-119.741766,39.435590
,"Corbett ES","1901 Villanova Dr","SE","School",1.000000,0.670000,"No",0.000000,0.000000,0.000000,"No"," ","No","No","No","No",0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","No"," ","No","No"," "," ","No","No",-119.785326,39.509573
,"Crystal Lake Park","1190 Country Estates Cir","SW","Neighborhood",5.000000,1.730000,"Yes",22.000000,2.000000,2.000000,"Yes","Seasonal","No","No","Yes","Yes",2.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","Yes","Paved","Yes","No"," "," ","Yes","No",-119.790024,39.456233
,"Damonte Ranch Park","1950 Steamboat Parkway","SE","Neighborhood",8.030000,4.500000,"Yes",19.000000,2.000000,1.000000,"Yes","Yearly","No","No","Yes","Yes",0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","No"," ","No","No"," "," ","No","No",-119.726697,39.425147
,"Dick Taylor Park","1140 Beach St","NE","Neighborhood",14.650000,8.230000,"Yes",158.000000,6.000000,2.000000,"Yes","Yearly","Yes","No","Yes","Yes",2.000000,0.000000,4.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000," ","Yes","Paved","No","No"," "," ","No","No",-119.809096,39.541687
,"Dodson ES","4355 Houston St","SE","School",2.260000,2.260000,"No",0.000000,0.000000,0.000000,"No"," ","No","No","No","No",0.000000,0.000000,2.500000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,"Youth Practice","No"," ","No","No"," "," ","No","No",-119.750873,39.489311
,"Echo Loder ES","600 Apple St","SE","School",3.030000,2.800000,"No",0.000000,0.000000,0.000000,"No"," ","No","No","No","No",0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,"Youth Games","No"," ","No","No"," "," ","No","No",-119.793585,39.503644
,"Huffaker Park","1160 East Huffaker Dr","SE","Neighborhood",9.220000,3.400000,"No",0.000000,0.000000,1.000000,"Yes","Seasonal","No","No","Yes","Yes",2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,"Youth Practice","Yes","Paved","Yes","No"," "," ","Yes","No",-119.768201,39.457189
,"Las Brisas Park","5350 Las Brisas Blvd","NW","Neighborhood",10.320000,2.000000,"Yes",13.000000,2.000000,1.000000,"Yes","Yearly","No","No","Yes","Yes",0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","Yes","Paved","No","No"," "," ","No","Yes",-119.874921,39.542801
,"Manzanita Park","630 Manzanita Lane","SW","Neighborhood",11.640000,7.120000,"Yes",16.000000,2.000000,1.000000,"Yes","Seasonal","No","No","Yes","Yes",2.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,"Youth Practice","Yes","Paved","Yes","No"," ","stream","Yes","No",-119.803366,39.483850
,"Miguel Ribera Park & Neil Road Rec Cen","3905 Neil Road","SE","Neighborhood",19.340000,7.630000,"Yes",125.000000,6.000000,2.000000,"No"," ","No","No","Yes","Yes",0.000000,0.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000,"Adult Games","Yes","Paved","Yes","No"," "," ","No","No",-119.780470,39.488187
,"Mira Loma Park","3000 South McCarran Blvd","SE","Community",37.520000,28.730000,"Yes",356.000000,17.000000,4.000000,"Yes","Yearly","No","No","Yes","Yes",4.000000,0.000000,0.500000,0.000000,1.000000,1.000000,0.000000,0.000000,3.000000,"Adult Games","Yes","Paved","No","No"," ","stream","Yes","No",-119.747804,39.492554
,"Northwest Pool & Park","2775 Apollo Way","NW","Community",13.000000,8.200000,"Yes",55.000000,2.000000,0.000000,"Yes","Seasonal","No","No","No","Yes",2.000000,0.000000,4.000000,0.000000,0.000000,0.000000,2.000000,2.000000,2.000000,"Youth Practice","No"," ","No","Yes","Indoor"," ","No","No",-119.852032,39.536616
,"O'Brien MS","10500 Stead Blvd","NV","School",7.070000,4.650000,"No",0.000000,0.000000,1.000000,"Yes","Seasonal","No","No","No","No",4.000000,0.000000,6.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,"Youth Games","No"," ","No","No"," "," ","No","No",-119.881927,39.621577
,"Panther Valley Park","850 Link Lane","NE","Neighborhood",5.000000,2.250000,"No",0.000000,0.000000,2.000000,"Yes","Seasonal","No","No","Yes","Yes",0.000000,0.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","No"," ","No","No"," "," ","Yes","Yes",-119.817239,39.589584
,"Pat Baker Park","1910 Bishop St","NE","Neighborhood",1.310000,0.890000,"No",0.000000,0.000000,0.000000,"No"," ","No","No","Yes","Yes",0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","Yes","Paved","No","No"," "," ","No","No",-119.795207,39.547391
,"Pickett Park","250 Kirman Ave","SE","Neighborhood",5.330000,3.910000,"Yes",18.000000,1.000000,1.000000,"Yes","Yearly","No","No","Yes","Yes",1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","No"," ","Yes","No"," "," ","Yes","No",-119.798182,39.524473
,"Pine MS","4800 Neil Road","SE","School",7.170000,4.400000,"No",0.000000,0.000000,0.000000,"No"," ","No","No","No","No",4.000000,0.000000,4.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000," ","No"," ","No","No"," "," ","No","No",-119.781562,39.479542
,"Plumas Park","575 Munroe St","SW","Neighborhood",4.680000,3.580000,"Yes",55.000000,3.000000,0.000000,"Yes","Yearly","No","No","No","No",0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,"Youth Games","No"," ","No","No"," "," ","No","No",-119.813949,39.513291
,"Rainbow Ridge Park","1355 Rainbow Ridge Dr","NE","Neighborhood",23.500000,4.100000,"No",0.000000,0.000000,1.000000,"Yes","Seasonal","No","No","Yes","Yes",0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000," ","Yes","Comb","No","No"," ","stream","No","No",-119.874251,39.524078
,"Raleigh Heights Park","825 Burgess Place","NV","Neighborhood",5.000000,1.610000,"No",0.000000,0.000000,1.000000,"No"," ","No","No","Yes","Yes",0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000," ","Yes","Paved","No","No"," "," ","No","No",-119.846458,39.591200
